Date: 20181011, number of symbols: 1294, valid ones: 1294
Date: 20181012, number of symbols: 1119, valid ones: 1119
Date: 20181015, number of symbols: 1293, valid ones: 1293
Date: 20181016, number of symbols: 1293, valid ones: 1284
Date: 20181017, number of symbols: 1293, valid ones: 1293
Date: 20181018, number of symbols: 1293, valid ones: 1293
Date: 20181019, number of symbols: 1291, valid ones: 1291
Date: 20181022, number of symbols: 1290, valid ones: 1290
Date: 20181023, number of symbols: 1290, valid ones: 1290
Date: 20181024, number of symbols: 1290, valid ones: 1290
Date: 20181025, number of symbols: 1290, valid ones: 1290
Date: 20181026, number of symbols: 1289, valid ones: 1289
Date: 20181029, number of symbols: 1289, valid ones: 1289
Date: 20181030, number of symbols: 1289, valid ones: 1289
Date: 20181101, number of symbols: 1288, valid ones: 1283
Date: 20181102, number of symbols: 1288, valid ones: 1287
Date: 20181105, number of symbols: 1288, valid ones: 1288
Date: 20181106, number of symbols: 1287, valid ones: 1287
Date: 20181107, number of symbols: 1286, valid ones: 1286
Date: 20181108, number of symbols: 1285, valid ones: 1285
Date: 20181109, number of symbols: 1285, valid ones: 1285
Date: 20181113, number of symbols: 1285, valid ones: 1285
Date: 20181114, number of symbols: 1285, valid ones: 1285
Date: 20181115, number of symbols: 1285, valid ones: 1285
Date: 20181116, number of symbols: 1285, valid ones: 1285
Date: 20181126, number of symbols: 1285, valid ones: 1285
Date: 20181127, number of symbols: 1284, valid ones: 1284
Date: 20181128, number of symbols: 1284, valid ones: 1284
Date: 20181129, number of symbols: 1283, valid ones: 1283
Date: 20181130, number of symbols: 1281, valid ones: 1281
Date: 20181203, number of symbols: 1279, valid ones: 1279
Date: 20181204, number of symbols: 1279, valid ones: 1279
Date: 20181206, number of symbols: 1279, valid ones: 1279
Date: 20181207, number of symbols: 1279, valid ones: 1279
Date: 20181210, number of symbols: 1278, valid ones: 1278
Date: 20181211, number of symbols: 1277, valid ones: 1277
Date: 20181212, number of symbols: 1277, valid ones: 1277
Date: 20181213, number of symbols: 1277, valid ones: 1277
Date: 20181214, number of symbols: 1277, valid ones: 1277
Date: 20181217, number of symbols: 1, valid ones: 1
Date: 20181218, number of symbols: 1, valid ones: 1
Date: 20181219, number of symbols: 11, valid ones: 11
Date: 20181220, number of symbols: 1, valid ones: 1
Date: 20181226, number of symbols: 1272, valid ones: 1272
Date: 20181227, number of symbols: 1272, valid ones: 1272
Date: 20181228, number of symbols: 1271, valid ones: 1269
Date: 20190102, number of symbols: 355, valid ones: 354
Date: 20190103, number of symbols: 1267, valid ones: 1264
Date: 20190104, number of symbols: 1265, valid ones: 1265
