Date: 20181002, number of symbols: 1826, valid ones: 1588
Date: 20181003, number of symbols: 5068, valid ones: 4274
Date: 20181004, number of symbols: 3562, valid ones: 2938
Date: 20181005, number of symbols: 2145, valid ones: 1865
Date: 20181008, number of symbols: 3639, valid ones: 2970
Date: 20181009, number of symbols: 5756, valid ones: 4842
Date: 20181010, number of symbols: 5401, valid ones: 4623
Date: 20181011, number of symbols: 2202, valid ones: 1682
Date: 20181012, number of symbols: 5423, valid ones: 4582
Date: 20181015, number of symbols: 3816, valid ones: 3223
Date: 20181016, number of symbols: 5718, valid ones: 4819
Date: 20181017, number of symbols: 4966, valid ones: 4139
Date: 20181018, number of symbols: 4954, valid ones: 4115
Date: 20181019, number of symbols: 5041, valid ones: 4187
Date: 20181022, number of symbols: 5266, valid ones: 4390
Date: 20181023, number of symbols: 2620, valid ones: 2056
Date: 20181024, number of symbols: 5801, valid ones: 4912
Date: 20181025, number of symbols: 4874, valid ones: 4074
Date: 20181026, number of symbols: 4875, valid ones: 4115
Date: 20181029, number of symbols: 4821, valid ones: 4044
Date: 20181030, number of symbols: 3421, valid ones: 2827
Date: 20181031, number of symbols: 15, valid ones: 12
Date: 20181101, number of symbols: 5777, valid ones: 4825
Date: 20181102, number of symbols: 4741, valid ones: 3881
Date: 20181105, number of symbols: 3643, valid ones: 2959
Date: 20181106, number of symbols: 5829, valid ones: 4757
Date: 20181107, number of symbols: 4843, valid ones: 3947
Date: 20181108, number of symbols: 5171, valid ones: 4265
Date: 20181109, number of symbols: 3093, valid ones: 2486
Date: 20181112, number of symbols: 12, valid ones: 10
Date: 20181113, number of symbols: 5823, valid ones: 4847
Date: 20181114, number of symbols: 5833, valid ones: 4858
Date: 20181115, number of symbols: 4945, valid ones: 4067
Date: 20181116, number of symbols: 3489, valid ones: 2846
Date: 20181123, number of symbols: 2090, valid ones: 1597
Date: 20181126, number of symbols: 4833, valid ones: 3673
Date: 20181127, number of symbols: 5084, valid ones: 4197
Date: 20181128, number of symbols: 4989, valid ones: 4133
Date: 20181129, number of symbols: 3451, valid ones: 2836
Date: 20181130, number of symbols: 5928, valid ones: 5010
Date: 20181203, number of symbols: 5228, valid ones: 4404
Date: 20181204, number of symbols: 2502, valid ones: 1975
Date: 20181206, number of symbols: 5920, valid ones: 5051
Date: 20181207, number of symbols: 5177, valid ones: 4405
Date: 20181210, number of symbols: 4263, valid ones: 3535
Date: 20181211, number of symbols: 4967, valid ones: 4184
Date: 20181212, number of symbols: 5029, valid ones: 4220
Date: 20181213, number of symbols: 3628, valid ones: 3029
Date: 20181214, number of symbols: 5878, valid ones: 4941
Date: 20181217, number of symbols: 93, valid ones: 59
Date: 20181218, number of symbols: 67, valid ones: 48
Date: 20181219, number of symbols: 350, valid ones: 268
Date: 20181220, number of symbols: 91, valid ones: 63
Date: 20181224, number of symbols: 3346, valid ones: 2819
Date: 20181226, number of symbols: 4814, valid ones: 4028
Date: 20181227, number of symbols: 2853, valid ones: 2436
Date: 20181228, number of symbols: 5909, valid ones: 5192
Date: 20190102, number of symbols: 2634, valid ones: 2052
Date: 20190103, number of symbols: 5995, valid ones: 4972
Date: 20190104, number of symbols: 6032, valid ones: 5036
Date: 20190107, number of symbols: 2689, valid ones: 2046
Date: 20190108, number of symbols: 161, valid ones: 12
Date: 20190109, number of symbols: 164, valid ones: 16
Date: 20190110, number of symbols: 6023, valid ones: 4877
